Country,Year,Forest_area_pct
Nigeria,1964,
Nigeria,1965,
Nigeria,1966,
Nigeria,1967,
Nigeria,1968,
Nigeria,1969,
Nigeria,1970,
Nigeria,1971,
Nigeria,1972,
Nigeria,1973,
Nigeria,1974,
Nigeria,1975,
Nigeria,1976,
Nigeria,1977,
Nigeria,1978,
Nigeria,1979,
Nigeria,1980,
Nigeria,1981,
Nigeria,1982,
Nigeria,1983,
Nigeria,1984,
Nigeria,1985,
Nigeria,1986,
Nigeria,1987,
Nigeria,1988,
Nigeria,1989,
Nigeria,1990,29.1249052999111
Nigeria,1991,28.9456009749992
Nigeria,1992,28.7662966500873
Nigeria,1993,28.5869923251754
Nigeria,1994,28.4076880002635
Nigeria,1995,28.2283836753516
Nigeria,1996,28.0490793504397
Nigeria,1997,27.8697750255278
Nigeria,1998,27.690470700616
Nigeria,1999,27.5111663757041
Nigeria,2000,27.3318620507922
Nigeria,2001,27.1525566279083
Nigeria,2002,26.9732512050243
Nigeria,2003,26.7939457821404
Nigeria,2004,26.6146403592565
Nigeria,2005,26.4353349363725
Nigeria,2006,26.2560295134886
Nigeria,2007,26.0767240906047
Nigeria,2008,25.8974186677207
Nigeria,2009,25.7181132448368
Nigeria,2010,25.5388078219529
Nigeria,2011,25.3595023990689
Nigeria,2012,25.180196976185
Nigeria,2013,25.0008915533011
Nigeria,2014,24.8215861304171
Nigeria,2015,24.6422807075332
Nigeria,2016,24.4629795667402
Nigeria,2017,24.2836830374299
Nigeria,2018,24.1043842023782
Nigeria,2019,23.9250853673265
Nigeria,2020,23.7457865322749
Nigeria,2021,23.5664876972232
Nigeria,2022,23.3871888621716
Nigeria,2023,
Nigeria,2024,
Thailand,1960,
Thailand,1961,
Thailand,1962,
Thailand,1963,
Thailand,1964,
Thailand,1965,
Thailand,1966,
Thailand,1967,
Thailand,1968,
Thailand,1969,
Thailand,1970,
Thailand,1971,
Thailand,1972,
Thailand,1973,
Thailand,1974,
Thailand,1975,
Thailand,1976,
Thailand,1977,
Thailand,1978,
Thailand,1979,
Thailand,1980,
Thailand,1981,
Thailand,1982,
Thailand,1983,
Thailand,1984,
Thailand,1985,
Thailand,1986,
Thailand,1987,
Thailand,1988,
Thailand,1989,
Thailand,1990,37.8966117951027
Thailand,1991,37.8255593180528
Thailand,1992,37.754506841003
Thailand,1993,37.6834543639531
Thailand,1994,37.6124018869032
Thailand,1995,37.5413494098534
Thailand,1996,37.4702969328035
Thailand,1997,37.3992444557537
Thailand,1998,37.3281919787038
Thailand,1999,37.257139501654
Thailand,2000,37.1860870246041
Thailand,2001,37.3965041398344
Thailand,2002,37.6069212550647
Thailand,2003,37.817338370295
Thailand,2004,38.0277554855253
Thailand,2005,38.2381726007555
Thailand,2006,38.4485897159858
Thailand,2007,38.6590068312161
Thailand,2008,38.8694239464464
Thailand,2009,39.0798410616767
Thailand,2010,39.290258176907
Thailand,2011,39.2855604924739
Thailand,2012,39.2808628080409
Thailand,2013,39.2761651236078
Thailand,2014,39.2714674391748
Thailand,2015,39.2667697547417
Thailand,2016,39.1806455401358
Thailand,2017,39.1101802736401
Thailand,2018,39.0397150071444
Thailand,2019,38.9692497406487
Thailand,2020,38.8987844741529
Thailand,2021,38.8283192076572
Thailand,2022,38.7578539411615
Thailand,2023,
Thailand,2024,
