Brand,Name,Ingredients,has_palm,palm_matches
FRESH,Black Tea Corset Cream Firming Moisturizer,"Water, Isononyl Isononanoate, CetearylIsononanoate, Hydrogenated Polyisobutene, Butylene Glycol,Glycerin, Pentylene Glycol, Steareth-21, Jojoba Esters, AlpiniaGalanga Leaf Extract, Algin, Saccharomyces Ferment Filtrate,Camellia Sinensis Leaf Extract, Lycium Chinense Fruit Extract,Rubus Fruticosus (Blackberry) Leaf Extract, Litchi Chinensis SeedExtract, Sorbitan Laurate, Sodium Hyaluronate, Hydroxyethylcellu-lose, Adenosine, Acetyl Dipeptide-1 Cetyl Ester, Tocopheryl Acetate,Tocopherol, Myristyl Myristate, Behenyl Alcohol, Cetyl Alcohol,Stearyl Alcohol, Glyceryl Stearate, Decyloxazolidinone, Dimethicone,Diphenylsiloxy Phenyl Trimethicone, Fragrance, Polyacryl-amide, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, C13-14Isoparaffin, Xanthan Gum, Sorbitol, Tromethamine, Maltodextrin,Dimethicone/Phenyl Vinyl Dimethicone Crosspolymer, Laureth-7,Polyvinyl Alcohol, BHT, Cellulose Gum, Caprylic/CapricTriglyceride, Citric Acid, Sodium Benzoate, Sodium Citrate,Potassium Sorbate, Biotin, Phenoxyethanol, Linalool,Citronellol, Geraniol.",True,['Glyceryl Stearate']
IT COSMETICS,Secret Sauce Clinically Advanced Miraculous Anti-Aging Moisturizer,"Water, Butylene Glycol, Cetyl Ethylhexanoate, Glycerin, Caprylic/Capric Triglyceride, Tribehenin Peg-20 Esters, Olea Europaea (Olive) Fruit Oil, Hydrogenated Polyisobutene, Glyceryl Stearate, Palmitic Acid, Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Stearic Acid, Dimethicone, Isohexadecane, Phenoxyethanol, Tocopheryl Acetate, Chlorphenesin, Tromethamine, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Polysorbate 80, Ethylhexylglycerin, Caprylyl Glycol, Sorbitan Oleate, Fragrance, Disodium Edta, Myristic Acid, Squalane, Ascorbic Acid, Colloidal Oatmeal, Cholesteryl Oleyl Carbonate, Niacinamide, Lactobacillus/Pumpkin Ferment Extract, Polymethylsilsesquioxane, Aloe Barbadensis Leaf Extract, Lactobacillus/Dipteryx Odorata Seed Ferment Filtrate, Camellia Sinensis Leaf Extract, Tocopherol, Panax Ginseng Root Extract, Sodium Hyaluronate, Cholesteryl Nonanoate, Cholesteryl Isostearate, Cholesteryl Chloride, Saccharum Officinarum (Sugar Cane) Extract, Cocos Nucifera (Coconut) Fruit Extract, Curcuma Longa (Turmeric) Root Extract, Vegetable Oil, Sophora Japonica Flower Extract, Aspergillus/Saccharomyces/Rice Ferment Filtrate, Peg-40 Hydrogenated Castor Oil, Glycyrrhiza Glabra (Licorice) Root Extract, Retinyl Palmitate, 1,2-Hexanediol, Steareth-20, Leuconostoc/Radish Root Ferment Filtrate, Hizikia Fusiforme Extract, Chlorella Minutissima Extract, Spirulina Platensis Extract, Codium Fragile Extract, Ulva Lactuca Extract, Fucus Vesiculosus Extract, Laminaria Saccharina Extract, Gelidium Cartilagineum Extract, Macrocystis Pyrifera Extract, Laminaria Digitata Extract, Lactobacillus/Algae Extract Ferment, Codium Tomentosum Extract, Sargassum Muticum Extract, Pikea Robusta Extract, Algae Extract, Agarum Cribosum Extract, Hydrolyzed Algae Extract, Laminaria Japonica Extract, Hydrolyzed Ulva Lactuca Extract, Porphyra Yezoensis Extract, Chlorella Ferment, Ecklonia Cava Extract, Enteromorpha Compressa Extract, Haematococcus Pluvialis Extract, Dunaliella Salina Extract, Undaria Pinnatifida Extract, Laminaria Cloustoni Extract, Sargassum Fulvellum Extract, Salicornia Herbacea Extract, Hypnea Musciformis Extract, Jania Rubens Extract, Citric Acid, Aspergillus/Rice Ferment Extract, Polysorbate 20, Rice Ferment Filtrate (Sake), N-Hydroxysuccinimide, Chamomilla Recutita (Matricaria) Flower Water, Lactobacillus/Centella Asiatica/Gleditsia Sinensis Thorn/Houttuynia Cordata Extract/Phellodendron Amurense Bark/Polygonum Cuspidatum Root/Prunella Vulgaris/Torilis Japonica Extract Ferment Filtrate, Phaseolus Angularis Seed Extract, Saccharomyces/Camellia Sinensis Extract Ferment Filtrate, Lactobacillus Ferment, Lactobacillus/Rice Ferment Filtrate, Bacillus/Cordyceps Sinensis/Ganoderma Lucidum/Inonotus Obliquus/Lentinus Edodes/Phellinus Linteus/Schizophyllum Commune/Tricholoma Matsutake Extract Ferment Filtrate, Carbomer, Hydrolyzed Collagen, Algae Oligosaccharides, Macrocystis Pyrifera (Kelp) Protein, Diamond Powder, Potassium Sorbate, Acetyl Hexapeptide-8, Palmitoyl Pentapeptide-4, Palmitoyl Oligopeptide, Chrysin, Palmitoyl Tetrapeptide-7, Chlorhexidine Digluconate.",True,"['Glyceryl Stearate', 'Stearic Acid']"
SHISEIDO,Benefiance WrinkleResist24 Day Cream Broad Spectrum SPF 18,"Water, Glycerin, Dipropylene Glycol, Butylene Glycol, Phenyl Trimethicone, Hydrogenated Polydecene, Sorbitol, Myristyl Myristate, Dimethicone, Sd Alcohol 40-B, Polybutylene Glycol/Ppg-9/1 Copolymer, Petrolatum, Stearyl Alcohol, Stearic Acid, Silica, Bentonite, Palmitic Acid, Xanthan Gum, Peg/Ppg-17/4 Dimethyl Ether, Phytosteryl Macadamiate, Tocopheryl Acetate, Sapindus Mukurossi Peel Extract, Uncaria Gambir Extract, Sodium Acetylated Hyaluronate, Hydroxyproline, Thymus Serpillum Extract, Chlorella Vulgaris Extract, Peg-5 Glyceryl Stearate, Glyceryl Stearate Se, Trisodium Edta, Potassium Hydroxide, Sodium Metaphosphate, Ammonium Acryloyldimethyltaurate/Vp Copolymer, Alcohol, Sodium Metabisulfite, Bht, Tocopherol, Phenoxyethanol, Fragrance, Iron Oxides.",True,"['Stearic Acid', 'Glyceryl Stearate', 'Glyceryl Stearate']"
LANEIGE,Water Bank Essence,"Water, Glycerin, Butylene Glycol, Glycereth-26, Cyclopentasiloxane, Hydrogenated Poly(C6-14 Olefin), Dimethicone, Limnanthes Alba (Meadowfoam) Seed Oil, Trisiloxane, Cyclohexasiloxane, Chenopodium Quinoa Seed Extract, Magnesium Sulfate, Zinc Sulfate, Manganese Sulfate, Calcium Chloride, Ascorbyl Glucoside, Salix Alba (Willow) Bark Extract, Tillandsia Usneoides Extract, Ceratonia Siliqua (Carob) Fruit Extract, Dimethiconol, Betaine, Ammonium Acryloyldimethyltaurate, VP Copolymer, Ethylhexylglycerin, Isopropyl Palmitate, Chondrus Crispus (Carrageenan), Phenyl Trimethicone, Propylene Glycol, PCA Dimethicone, Hydrogenated Lecithin, Hydroxyethyl Acrylate, Sodium Acryloyldimethyl Taurate Copolymer, Disodium EDTA, Phenoxyethanol, Fragrance.",True,['Isopropyl Palmitate']
PHILOSOPHY,Renewed Hope in A Jar Refreshing & Refining Moisturizer,"Water, Cyclopentasiloxane, Stearic Acid, Glycerin, Butylene Glycol, C12-15 Alkyl Benzoate, Glycolic Acid, Dimethicone, Polyacrylamide, Cetearyl Alcohol, Phenoxyethanol, Sodium Hydroxide, C13-14 Isoparaffin, Dimethicone Crosspolymer, Ceteareth-20, Ammonium Acryloyldimethyltaurate/Vp Copolymer, Polysilicone-11, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Laureth-7, Citric Acid, Chlorphenesin, Mandelic Acid, Tocopheryl Acetate, Synthetic Fluorphlogopite, Ethlhexyl Palmitate, Propanediol, Parfum/Fragrance, Disodium Edta, Adenosine, Evodia Rutaecarpa Fruit Extract, Limonene, Faex/Yeast Extract/Extrait De Levure, Magnesium Stearate, Opuntia Coccinellifera Flower Extract, Silica Dimethyl Silylate, Caprylyl Glycol, Bht, Ethylhexylglycerin, Hyaluronic Acid, Silanetriol, Sodium Hyaluronate, Sorbic Acid, Hexylene Glycol, Bismuth Oxychloride (Ci 77163).",True,['Stearic Acid']
PERRICONE MD,Cold Plasma Sub-D Firming Neck Treatment,"Water, Glycolic Acid, L-Tyrosine, Dimethyl MEA (DMAE), Isopropyl Palmitate, Acetyl Carnitine HCl, Arginine, Cetearyl Alcohol, Glyceryl Stearate, PEG-100 Stearate, Phosphatidylcholine, Thioctic Acid (Alpha-Lipoic Acid), Rosa Moschata (Rosehip) Seed Oil, Vaccinium Macrocarpon (Cranberry) Seed Oil, Ceteareth-20, Caffeine, Dimethicone, BHT, Saccaromyces Ferment, Magnesium Aspartate, Zinc Gluconate, Phenoxyethanol, Rhodiola Rosea Root Extract, Caprylyl Glycol, Phytic Acid, Carnosine, Disodium EDTA, Elaeis Guineensis (Palm) Oil, Astaxanthin, Copper Gluconate, Tocotrienols, Sorbic Acid, Parfum (Fragrance), Limonene, Tocopherol, Sodium Hyaluronate, Linalool, Alanyl Glutamine.",True,"['Isopropyl Palmitate', 'Glyceryl Stearate', 'Elaeis Guineensis']"
LANCÔME,Rénergie Lift Multi-Action Night,"Water, Glycerin, Prunus Armeniaca Kernel Oil, Apricot Kernel Oil, Caprylic/Capric Triglyceride, Pentaerythrityl Tetraethylhexanoate, Cetyl Alcohol, Zea Mays Starch, Corn Starch, Butyrospermum Parkii Butter, Shea Butter, Alcohol Denat., Petrolatum, Pentylene Glycol, Glyceryl Stearate, Dimethicone, Peg-40 Stearate, Cera Alba, Beeswax, Cire Dabeille, Hydroxyethylpiperazine Ethane Sulfonic Acid, Ci 14700, Red 4, Ci 19140, Yellow 5, Saccharomyces/Xylinum/ Black Tea Ferment, Hydrolyzed Linseed Extract, Hydrolyzed Soy Protein, Hydrolyzed Hyaluronic Acid, Sodium Hydroxide, Sodium Benzoate, Phenoxyethanol, Adenosine, Stearyl Alcohol, Acetyl Tetrapeptide-9, Poloxamer 338, Dimethiconol, Limonene, Xanthan Gum, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Benzyl Alcohol, Caprylyl Glycol, Alpha-Isomethyl Ionone, Sorbitan Tristearate, Myristyl Alcohol, Geraniol, Hexyl Cinnamal, Fragrance.",True,['Glyceryl Stearate']
ALGENIST,GENIUS Ultimate Anti-Aging Cream,"Water, Caprylic/Capric Triglyceride, Hydrogentated Polyisobutene, Glycerin, Chlorella Protothecoides Oil, Dimethicone, Butylene Glycol, Glyceryl Stearate, PEG-100 Stearate, Butyrospermum Parkii (Shea) Butter, Pentylene Glycol, Potassium Cetyl Phosphate, Algae Exopolysaccharides, Vegetable Collagen, Ceramide 3, Cynara Scrolymus (Artichoke) Leaf Extract, Retinyl Palmitate, Astragalus Membranaceous Root Extract, Atractyloides Macrocephala Root Extract, Iris Florentina Root Extract, Bupleurum Falcatum Root Extract, Methyl Glucoside Phosphate Proline Lysine Copper Complex, Stearalkonium Bentonite, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Silica, Caprylyl Glycol, Sodium Hydroxide, Disodium EDTA, Ethylhexylglycerin, Cetyl Alcohol, Propylene Carbonate, Phenoxyethanol, Leuconostoc/Radish Root Ferment Filtrate, Chlorphenesin, Fragrance, Coumarin.",True,['Glyceryl Stearate']
IT COSMETICS,Your Skin But Better™ CC+ Airbrush Perfecting Powder™ with SPF 50+,"Mica, Lauroyl Lysine, Zinc Stearate, Ethylhexyl Palmitate, Aqua/Water/Eau, Silica, Hydrolyzed Collagen, Hyaluronic Acid, Niacinamide, Palmitoyl Tripeptide-1, Palmitoyl Tetrapeptide-7, Serica/Silk Powder/Poudre De Soie, Tocopherol, Glycine Soja (Soybean) Oil, Retinyl Palmitate, Silica Dimethyl Silylate, Ascorbyl Palmitate, Aloe Barbadensis Leaf Extract, Camellia Oleifera Leaf Extract, Camellia Sinensis Leaf Extract, Carica Papaya Fruit Extract, Chamo Milla Recutita Flower Extract, Olea Europaea Fruit Extract, Punica Granatum Extract, Rosa Canina Fruit Extract, Vitis Vinifera Seed Extract, Cholesteryl Chloride, Cholesteryl Nonanoate, Cholesteryl Oleyl Carbonate, Glycerin, Butylene Glycol, Carbomer, Polysorbate 20, Phenoxyethanol, BHT, [+/-: Iron Oxides (Ci 77499, Ci 77491, Ci 77492)].",True,['Ascorbyl Palmitate']
JOSIE MARAN,Whipped Argan Oil Face Butter,"Water**, Aloe Barbadensis (Aloe Vera) Leaf Juice*, Argania Spinosa (Argan) Kernel Oil*, Glyceryl Stearate**, Glycerin**, Cetyl Alcohol**, Ethylhexyl Palmitate**, Dicapryl Carbonate**, Butyrospermum Parkii (Shea Butter)**, Hydroxyethyl Acrylate/Sodium Acryloyl Dimethyl Taurate Copolymer**, Caprylic/ Capric Triglyceride**, Xylitylglucoside**, Anhydroxylitol**, Sodium Stearoyl Glutamate**, Squalane**, Xylitol, Glyceryl Caprylate**, Stearic Acid**, Polys/orbate-60**, Glyceryl Undecylenate**,Cucumis Sativus (Cucumber) Fruit Extract**, Xanthan Gum**, Sodium Hyaluronate**, Lysolecithin**, Citrullus Lanatus (Watermelon) Extract**, Sclerotium Gum**, Phenoxyethanol, Tocopherol**, Sodium Phytate**, Potassium Sorbate**, Glycine Soja (Soybean) Oil**, Allantoin**, Ethylhexylglycerin**, Panthenol**, Pullulan**, Citric Acid**.",True,"['Glyceryl Stearate', 'Stearic Acid']"
OLEHENRIKSEN,Nurture Me™ Moisturizing Crème,"Water, Helianthus Annuss (Ssunflower) Seed Oil, Glycerin, Dimethicone, Glyceryl Stearate SE, Cyclopentasiloxane, Rosa Canina Fruit Oil, Cetearyl Alcohol, Cetyl Alcohol, Parfum/Fragrance, Ceteareth-20, Phenoxyethanol, Oenothera Biennis (Evening Primrose) Oil, Allantoin, Triticum Vulgare (Wheat) Germ Oil, Carmbomer, Panthenol, Caprylyl Glycol, Hexylene Glycol, Ethylhexylglycerin, Ethylhexyl Methoxycinnamate, Tocopheryl Acetate, Citrus Grandis (Grapefruit) Fruit Extract, Citrus Aurantium Dulcis (Orange) Fruit Extract, Chamomilla Recutita (Matricaria) Flower Extract, Calendula Officinalis Flower Extract, Retinyl Palmitate, Citric Acid, Tocopeherol, Yellow 6 (CI 15985), Ascorbyl Palmitate, Red 40 (CI 16035), BHT, Benzyl Benzoate, Citral, Limonene. Linalool.",True,"['Glyceryl Stearate', 'Ascorbyl Palmitate']"
FARMACY,Sleep Tight Firming Night Balm with Echinacea GreenEnvy™,"Prunus Amygdalus Dulcis (Sweet Almond) Oil, Coco-Caprylate, Dextrin Palmitate, Helianthus Annuus (Sunflower) Seed Oil, Sorbitan Sesquioleate, Caprylic/Capric Triglyceride, Limnanthes Alba (Meadowfoam) Seed Oil, Tetrahexyldecyl Ascorbate, Octyldodecanol, Patented Echinacea Purpurea 'Greenenvytm' Root Extract, Crambe Abyssinica Seed Oil, Oenothera Biennis (Evening Primrose) Oil, Oryza Sativa (Rice) Bran Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Vitis Vinifera (Grape) Seed Oil, Amber Powder, Amino-Esters-1, Bidens Pilosa Extract, Cananga Odorata Flower Oil, Cardiospermum Halicacabum Flower/Leaf/Vine Extract, Citrus Aurantifolia (Lime) Oil, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Citrus Aurantium Dulcis (Orange) Peel Oil, Coccinia Indica Fruit Extract, Corallina Officinalis Extract, Corcuma Longa (Turmeric) Root Extract, Echinacea Purpurea Extract, Elaeis Guineensis (Palm) Oil, Gossypium Herbaceum (Cotton) Seed Oil, Helianthus Annuus (Sunflower) Seed Oil Unsaponifiables, Linum Usitatissimum (Linseed) Seed Oil, Melia Azadirachta Flower Extract, Melia Azadirachta Leaf Extract, Moringa Oleifera Seed Oil, Ocimum Sanctum Leaf Extract, Ormenis Multicaulis (Chamomile) Flower Oil, Phenoxyethanol, Ribes Nigrum (Black Currant) Seed Oil, Rosmarinus Officinalis (Rosemary) Leaf Extract, Silica Silylate, Solanum Melongena (Eggplant) Fruit Extract, Spilanthes Acmella Flower Extract, Tocopherol, Tocopheryl Acetate, Water (Aqua), Zingier Officinale (Ginger) Root Oil.",True,['Elaeis Guineensis']
CHARLOTTE TILBURY,Charlotte's Magic Cream Mini,"Water, Homosalate , Glyceryl Stearate SE, Ethylhexyl Salicylate, Butylene Glycol, Glycerin, Butyl Methoxydibenzoylmethane, Octocrylene, Cetyl Alcohol, C12-15 Alkyl Benzoate, Cyclopentasiloxane, Dimethicone, Phenoxyethanol, Butyrospermum Parkii (Shea) Butter, Steareth-21, Avena Sativa (Oat) Kernel Extract, Carbomer, Dimethiconol, Potassium Cetyl Phosphate, Chlorphenesin, Caprylyl Glycol, Xanthan Gum, Hydrolyzed Viola Tricolor Extract, Allantoin, Aloe Barbadensis Leaf Juice, Disodium EDTA, Tocopheryl Acetate, Camellia Oleifera Seed Oil, Rosa Canina Fruit Oil, Rosa Damascena Flower Water, Sodium Hydroxide, Helianthus Annuus (Sunflower) Seed Oil, Michelia Alba Leaf Oil, Sodium Lactate, Coco-Glucoside, PEG-8, Ethylhexylglycerin, Sodium Hyaluronate, Tocopherol, Palmitoyl Oligopeptide, Palmitoyl Tetrapeptide-7, Ascorbyl Palmitate, Plumeria Rubra Flower Extract, Ascorbic Acid, Citric Acid, Nicotiana Sylvestris Leaf Cell Culture, Linalool, Citronellol, Geraniol.",True,"['Glyceryl Stearate', 'Ascorbyl Palmitate']"
YOUTH TO THE PEOPLE,Superfood Air-Whip Hyaluronic Acid Moisture Cream,"Water, Helianthus Annuus (Sunflower) Seed Oil, Glyceryl Stearate, Cetyl Alcohol, Lecithin, Glycerin, Tocopheryl Acetate (Vitamin E), Ascorbic Acid (Vitamin C), Panthenol (Vitamin B5), Sodium Hyaluronate Crosspolymer, Butylene Glycol, Brassica Oleracea (Kale) Leaf Extract, Spinacia Oleracea (Spinach) Leaf Extract, Camellia Sinensis (Green Tea) Leaf Extract, Chamomilla Recutita (Matricaria) Flower Extract, Medicago Sativa (Alfalfa) Extract, Aloe Barbadensis (Aloe Vera) Leaf Extract, Sodium Hyaluronate, Natural Fragrance, Hydroxyethylcellulose, Pentylene Glycol, Ethylhexylglycerin, Phenoxyethanol, Potassium Sorbate, Sodium Benzoate, Chlorophyll.",True,['Glyceryl Stearate']
KIEHL'S SINCE 1851,Super Multi-Corrective Cream,"Water, Glycerin, Dicaprylyl Ether, Butyrospermum Parkii Butter/Shea Butter, Hydroxypropyl Tetrahydropyrantriol, Isononyl Isononanoate, Isopropyl Isostearate, Propylene Glycol, Sodium Tetrahydrojasmonate, Cetyl Alcohol, Dimethicone, Behenyl Alcohol, Dipropylene Glycol, Stearic Acid, Glyceryl Stearate, Palmitic Acid, Phenoxyethanol, Cetearyl Alcohol, Carbomer, Arachidyl Alcohol, Caprylyl Glycol, PEG-100 Stearate, Xanthan Gum, Sodium Hydroxide, Cetearyl Glucoside, Stearyl Alcohol, Hydrolyzed Hyaluronic Acid, Disodium EDTA, Rosmarinus Officinalis Leaf Oil/Rosemary Leaf Oil, Adenosine, Limonene, Pelargonium Graveolens Flower Oil, Lavandula Hybrida Oil, Cucumis Sativus Fruit Extract/Cucumber Fruit Extract, Curcuma Longa Extract/Turmeric Root Extract, Sclareolide, Rosa SPP/Rose Flower Oil, Jasminum Officinale Extract/ Jasmine Extract, Citric Acid.",True,"['Stearic Acid', 'Glyceryl Stearate']"
BIOSSANCE,Squalane + Omega Repair Cream,"Water, Squalane, Glycerin, Caprylic/Capric Triglyceride, Isoamyl Laurate, Butyrospermum Parkii (Shea) Butter, Sorbitan Olivate, Cetearyl Olivate, Ceramide NP, Jojoba Esters, Sodium Hyaluronate, Euterpe Oleracea Sterols, Linoleic Acid, Oleic Acid, Linolenic Acid, Ethyl Linoleate, Tocopherol, Isoamyl Cocoate, Cetyl Palmitate, Sorbitan Palmitate, Cetearyl Alcohol, Ethylhexylglycerin, Carbomer, Sodium Hydroxide, Phenoxyethanol, Sodium Gluconate.",True,['Cetyl Palmitate']
SHISEIDO,Bio-Performance Advanced Super Restoring Cream,"Dimethicone, Cetyl Alcohol, Glyceryl Stearate Se, Peg-100 Stearate, Myristyl Myristate, Hydrogenated Polyisobutene, Erythritol, Microcrystalline Wax (Cera Microcristallina), Behenyl Alcohol, Dimethylacrylamide/Sodium Acryloyldimethyltaurate Crosspolymer, Stearyl Alcohol, Talc, Phenoxyethanol, Methylparaben, Silica, Alumina, Disodium Edta, Sorbitan Tristearatee, Thylparaben, Fragrance, Sodium Citrate, Titanium Dioxide (Ci 77891), Tocopheryl Acetate, Citric Acid, Sodium Metaphosphate, Inositol, Benzyl Benzoate, Alpha-Isomethyl Ionone, Saccharomyces Ferment Lysate Filtrate, Hexyl Cinnamal, Linalool, Limonene, Methylisothiazolinone, Sodium Metabisulfite, Citronellol, Geraniol, Butylphenyl Methylpropional, Sodium Acetylated Hyaluronate, Eugenol, Syzygium Jambos Leaf Extract, Iron Oxides (Ci 77491), Iron Oxides (Ci 77492), Tocopherol.",True,['Glyceryl Stearate']
SHISEIDO,Benefiance WrinkleResist24 Day Emulsion Broad Spectrum SPF 18,"Water, Cyclomethicone, Dipropylene Glycol, Glycerin, SD Alcohol 40-B, Xylitol, Phenyl Trimethicone, Dimethicone Copolyol, Magnesium Aluminum Silicate, Trimethylsiloxysilicate, Potassium Ascorbyl Tocopheryl Phosphate, Thiotaurine, Ginseng Extract, Sodium Acetylated Hyaluronate, Hydroxyproline, Wild Thyme Extract, Chlorella Vulgaris Extract, PEG-150, Distearyldimonium Chloride, Aluminum Hydroxide, Stearic Acid, Sodium Citrate, Butylene Glycol, Sodium Hexametaphosphate, Isopropyl Alcohol, Alcohol, Trisodium EDTA, BHT, Tocopherol, Phenoxyethanol, Methylparaben, Fragrance, Titanium Dioxide, Iron Oxides.",True,['Stearic Acid']
IT COSMETICS,Bye Bye Redness™ Neutralizing Correcting Cream,"Cyclopentasiloxane, Water, Silica, Peg/Ppg-18/18 Dimethicone, Dimethicone/Vinyl Dimethicone Crosspolymer, Isododecane, Propanediol, Dimethicone, Polysilicone-11, Lauryl Peg/Ppg-18/18 Methicone, Peg-10 Dimethicone, Magnesium Aluminum Silicate, Sodium Chloride, Polyglyceryl-4 Isostearate, Butylene Glycol, Decyl Glucoside, Disteardimonium Hectorite, Cetyl Peg/Ppg-10/1 Dimethicone, Methicone, Hexyl Laurate, Retinyl Palmitate, Ascorbyl Palmitate, Tocopheryl Acetate, Hydrolyzed Collagen, Hydrolyzed Silk, Acetyl Octapeptide-3, Dipeptide Diaminobutyroyl Benzylamide Diacetate, Acetyl Hexapeptide-8, Camellia Sinensis Leaf Extract, Caprylic/Capric Triglyceride, Aloe Barbadensis Leaf Extract, Olea Europaea (Olive) Leaf Extract, Punica Granatum Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Carthamus Tinctorius (Safflower) Seed Oil, Vitis Vinifera (Grape) Seed Extract, Chamomilla Recutita (Matricaria) Flower Extract, Prunus Domestica Seed Oil, Persea Gratissima (Avocado) Oil, Perfluorodecalin, Niacinamide, Glycerin, Carbomer, Polysorbate 20, Palmitoyl Oligopeptide, Palmitoyl Tetrapeptide-7, Ethylhexyl Palmitate, Silica Dimethyl Silylate, Hyaluronic Acid, Cholesteryl Nonanoate, Cholesteryl Oleyl Carbonate, Cholesteryl Chloride, Colloidal Oatmeal, Magnolia Acuminata Bark Extract, Chrysanthemum Parthenium (Feverfew) Extract, Citrus Grandis (Grapefruit) Peel Oil, Lithospermum Officinale Extract, Agaricus Bisporus (Mushroom) Extract, Glycine Soja (Soybean) Seed Extract, Curcuma Longa (Turmeric) Root Extract, Phenoxyethanol, Ethylhexylglycerin, [+/-: Titanium Dioxide (Ci 77891), Iron Oxides (Ci 77492, Ci 77491, Ci 77499)].",True,['Ascorbyl Palmitate']
FRESH,Vitamin C Glow Moisturizer,"Water, Glycerin, Pentylene Glycol, Ethylhexyl Isononanoate, Caprylic/Capric Triglyceride, Jojoba Esters, Glyceryl Stearate, Caprylyl Methicone, Polyglycerin-3, Propanediol, Glucosyl Hesperidin, Vaccinium Myrtillus Fruit Extract, Saccharum Officinarum (Sugar Cane) Extract, Citrus Medica Limonum (Lemon) Fruit Extract, Citrus Aurantium Dulcis (Orange) Fruit Extract, Acer Saccharum (Sugar Maple) Extract, Tocopheryl Acetate, Ascorbyl Tetraisopalmitate, Panthenol, Tocopherol, Magnesium Aspartate, Zinc Gluconate, Copper Gluconate, Ethylhexyl Palmitate, Stearyl Alcohol, Ceteth-20, Sodium Polyacrylate, Stearic Acid, Steareth-21, Steareth-25, Caprylyl Glycol, Tromethamine, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Fragrance, Tetrasodium EDTA, Xanthan Gum, Sodium Hyaluronate, Butylene Glycol, Caramel, BHT, Phenoxyethanol, Limonene, Linalool, Citral, Benzyl Salicylate.",True,"['Glyceryl Stearate', 'Stearic Acid']"
KORRES,Wild Rose + Vitamin C Advanced Brightening Sleeping Facial,"Water, Glycerin, Glyceryl Stearate Citrate, Dicaprylyl Carbonate, Triheptanoin, Alcohol Denat., Behenyl Alcohol, Glyceryl Stearate, Aloe Barbadensis Leaf Juice, Isodecyl Neopentanoate, Simmondsia Chinensis, (Jojoba) Seed Oil, Cera Alba/Beeswax/Cire D'abeille, Lecithin, Imperata Cylindrica Root Extract, Acacia Decurrens/Jojoba/Sunflower Seed Wax, Polyglyceryl-3 Esters, Rosa Canina Fruit Oil, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Ascorbyl Tetraisopalmitate, Caprylyl Glycol, Carbomer, Cetearyl Alcohol, Citric Acid, Distarch, Phosphate, Galactoarabinan, Glycine Soja (Soybean), Oil, Glycine Soja (Soybean) Sterols, Helianthus, Annuus (Sunflower) Seed Oil, Hydrolyzed Sodium, Hyaluronate, Hydroxyethyl Acrylate/Sodium, Acryloyldimethyl Taurate Copolymer, Lactic Acid, Parfum/Fragrance, Phenoxyethanol, Rosa Canina, Fruit Extract, Rosmarinus Officinalis (Rosemary), Leaf Extract, Rosmarinus Officinalis (Rosemary), Extract, Sodium Benzoate, Sodium Gluceptate, Sodium Hydroxide, Tetrahydrodiferuloylmethane, Tocopherol, Tocopheryl Acetate, Xanthan Gum.",True,"['Glyceryl Stearate', 'Glyceryl Stearate']"
